epoch,step,train_nce_loss_step,train_acc5_step,train_class_loss_step,train_acc1_step,train_nce_loss_epoch,train_class_loss_epoch,train_acc5_epoch,train_acc1_epoch
189,73399,1.635776400566101,0.0,nan,0.0,,,,
189,73449,1.6368181705474854,0.0,nan,0.0,,,,
189,73499,1.6531883478164673,0.0,nan,0.0,,,,
189,73529,,,,,1.639596700668335,nan,0.0,0.0
190,73549,1.6418869495391846,0.0,nan,0.0,,,,
190,73599,1.6306591033935547,0.0,nan,0.0,,,,
190,73649,1.6338088512420654,0.0,nan,0.0,,,,
190,73699,1.6316016912460327,0.0,nan,0.0,,,,
190,73749,1.624593734741211,0.0,nan,0.0,,,,
190,73799,1.6367900371551514,0.0,nan,0.0,,,,
190,73849,1.6352626085281372,0.0,nan,0.0,,,,
190,73899,1.6383264064788818,0.0,nan,0.0,,,,
190,73916,,,,,1.6388157606124878,nan,0.0,0.0
191,73949,1.6379408836364746,0.0,nan,0.0,,,,
191,73999,1.6374166011810303,0.0,nan,0.0,,,,
191,74049,1.6388773918151855,0.0,nan,0.0,,,,
191,74099,1.6385645866394043,0.0,nan,0.0,,,,
191,74149,1.6454925537109375,0.0,nan,0.0,,,,
191,74199,1.6274492740631104,0.0,nan,0.0,,,,
191,74249,1.6465528011322021,0.0,nan,0.0,,,,
191,74299,1.65311861038208,0.0,nan,0.0,,,,
191,74303,,,,,1.6393730640411377,nan,0.0,0.0
192,74349,1.6435858011245728,0.0,nan,0.0,,,,
192,74399,1.6445406675338745,0.0,nan,0.0,,,,
192,74449,1.6470859050750732,0.0,nan,0.0,,,,
192,74499,1.637070655822754,0.0,nan,0.0,,,,
192,74549,1.627669334411621,0.0,nan,0.0,,,,
192,74599,1.643943428993225,0.0,nan,0.0,,,,
192,74649,1.6295669078826904,0.0,nan,0.0,,,,
192,74690,,,,,1.639399528503418,nan,0.0,0.0
193,74699,1.6573011875152588,0.0,nan,0.0,,,,
193,74749,1.6517536640167236,0.0,nan,0.0,,,,
193,74799,1.622910976409912,0.0,nan,0.0,,,,
193,74849,1.6424040794372559,0.0,nan,0.0,,,,
193,74899,1.6515817642211914,0.0,nan,0.0,,,,
193,74949,1.6444635391235352,0.0,nan,0.0,,,,
193,74999,1.6315152645111084,0.0,nan,0.0,,,,
193,75049,1.644117832183838,0.0,nan,0.0,,,,
193,75077,,,,,1.6382025480270386,nan,0.0,0.0
194,75099,1.6419813632965088,0.0,nan,0.0,,,,
194,75149,1.64640212059021,0.0,nan,0.0,,,,
194,75199,1.6452382802963257,0.0,nan,0.0,,,,
194,75249,1.6467854976654053,0.0,nan,0.0,,,,
194,75299,1.655588150024414,0.0,nan,0.0,,,,
194,75349,1.6358537673950195,0.0,nan,0.0,,,,
194,75399,1.6471760272979736,0.0,nan,0.0,,,,
194,75449,1.64043390750885,0.0,nan,0.0,,,,
194,75464,,,,,1.6393797397613525,nan,0.0,0.0
195,75499,1.6101741790771484,0.0,nan,0.0,,,,
195,75549,1.649296522140503,0.0,nan,0.0,,,,
195,75599,1.6363033056259155,0.0,nan,0.0,,,,
195,75649,1.6465773582458496,0.0,nan,0.0,,,,
195,75699,1.6368471384048462,0.0,nan,0.0,,,,
195,75749,1.6501758098602295,0.0,nan,0.0,,,,
195,75799,1.6595394611358643,0.0,nan,0.0,,,,
195,75849,1.641469955444336,0.0,nan,0.0,,,,
195,75851,,,,,1.6395127773284912,nan,0.0,0.0
196,75899,1.6516714096069336,0.0,nan,0.0,,,,
196,75949,1.6399080753326416,0.0,nan,0.0,,,,
196,75999,1.6401835680007935,0.0,nan,0.0,,,,
196,76049,1.6399390697479248,0.0,nan,0.0,,,,
196,76099,1.6445659399032593,0.0,nan,0.0,,,,
196,76149,1.6423957347869873,0.0,nan,0.0,,,,
196,76199,1.6376852989196777,0.0,nan,0.0,,,,
196,76238,,,,,1.6389219760894775,nan,0.0,0.0
197,76249,1.6460413932800293,0.0,nan,0.0,,,,
197,76299,1.6339573860168457,0.0,nan,0.0,,,,
197,76349,1.638231635093689,0.0,nan,0.0,,,,
197,76399,1.6325534582138062,0.0,nan,0.0,,,,
197,76449,1.6342799663543701,0.0,nan,0.0,,,,
197,76499,1.6305522918701172,0.0,nan,0.0,,,,
197,76549,1.6558926105499268,0.0,nan,0.0,,,,
197,76599,1.6343873739242554,0.0,nan,0.0,,,,
197,76625,,,,,1.6381621360778809,nan,0.0,0.0
198,76649,1.651947021484375,0.0,nan,0.0,,,,
198,76699,1.6417508125305176,0.0,nan,0.0,,,,
198,76749,1.6519575119018555,0.0,nan,0.0,,,,
198,76799,1.624018907546997,0.0,nan,0.0,,,,
198,76849,1.656545877456665,0.0,nan,0.0,,,,
198,76899,1.638404130935669,0.0,nan,0.0,,,,
198,76949,1.6572972536087036,0.0,nan,0.0,,,,
198,76999,1.6364871263504028,0.0,nan,0.0,,,,
198,77012,,,,,1.6393009424209595,nan,0.0,0.0
199,77049,1.6150541305541992,0.0,nan,0.0,,,,
199,77099,1.6347789764404297,0.0,nan,0.0,,,,
199,77149,1.634920597076416,0.0,nan,0.0,,,,
199,77199,1.6483302116394043,0.0,nan,0.0,,,,
199,77249,1.6350927352905273,0.0,nan,0.0,,,,
199,77299,1.6488800048828125,0.0,nan,0.0,,,,
199,77349,1.6405603885650635,0.0,nan,0.0,,,,
199,77399,1.6222729682922363,0.0,nan,0.0,,,,
199,77399,,,,,1.6387308835983276,nan,0.0,0.0
