epoch,step,train_nce_loss_step,train_acc5_step,train_class_loss_step,train_acc1_step,train_nce_loss_epoch,train_class_loss_epoch,train_acc5_epoch,train_acc1_epoch
181,70049,1.6431087255477905,0.0,nan,0.0,,,,
181,70099,1.6458085775375366,0.0,nan,0.0,,,,
181,70149,1.6355396509170532,0.0,nan,0.0,,,,
181,70199,1.6505144834518433,0.0,nan,0.0,,,,
181,70249,1.6511108875274658,0.0,nan,0.0,,,,
181,70299,1.6374876499176025,0.0,nan,0.0,,,,
181,70349,1.6653032302856445,0.0,nan,0.0,,,,
181,70399,1.6312243938446045,0.0,nan,0.0,,,,
181,70433,,,,,1.640337586402893,nan,0.0,0.0
182,70449,1.6288620233535767,0.0,nan,0.0,,,,
182,70499,1.6589601039886475,0.0,nan,0.0,,,,
182,70549,1.6348018646240234,0.0,nan,0.0,,,,
182,70599,1.6312777996063232,0.0,nan,0.0,,,,
182,70649,1.652050495147705,0.0,nan,0.0,,,,
182,70699,1.6441279649734497,0.0,nan,0.0,,,,
182,70749,1.6626207828521729,0.0,nan,0.0,,,,
182,70799,1.6343884468078613,0.0,nan,0.0,,,,
182,70820,,,,,1.6404930353164673,nan,0.0,0.0
183,70849,1.6418101787567139,0.0,nan,0.0,,,,
183,70899,1.6361916065216064,0.0,nan,0.0,,,,
183,70949,1.6464498043060303,0.0,nan,0.0,,,,
183,70999,1.652339220046997,0.0,nan,0.0,,,,
183,71049,1.638254165649414,0.0,nan,0.0,,,,
183,71099,1.6438462734222412,0.0,nan,0.0,,,,
183,71149,1.6417720317840576,0.0,nan,0.0,,,,
183,71199,1.6207373142242432,0.0,nan,0.0,,,,
183,71207,,,,,1.6406686305999756,nan,0.0,0.0
184,71249,1.6353940963745117,0.0,nan,0.0,,,,
184,71299,1.643405795097351,0.0,nan,0.0,,,,
184,71349,1.6509952545166016,0.0,nan,0.0,,,,
184,71399,1.6430847644805908,0.0,nan,0.0,,,,
184,71449,1.6404857635498047,0.0,nan,0.0,,,,
184,71499,1.6437551975250244,0.0,nan,0.0,,,,
184,71549,1.6413593292236328,0.0,nan,0.0,,,,
184,71594,,,,,1.6401840448379517,nan,0.0,0.0
185,71599,1.6517360210418701,0.0,nan,0.0,,,,
185,71649,1.6333725452423096,0.0,nan,0.0,,,,
185,71699,1.6534887552261353,0.0,nan,0.0,,,,
185,71749,1.6292341947555542,0.0,nan,0.0,,,,
185,71799,1.653792142868042,0.0,nan,0.0,,,,
185,71849,1.6441161632537842,0.0,nan,0.0,,,,
185,71899,1.6426175832748413,0.0,nan,0.0,,,,
185,71949,1.635671615600586,0.0,nan,0.0,,,,
185,71981,,,,,1.6409327983856201,nan,0.0,0.0
186,71999,1.653846263885498,0.0,nan,0.0,,,,
186,72049,1.6400525569915771,0.0,nan,0.0,,,,
186,72099,1.6320879459381104,0.0,nan,0.0,,,,
186,72149,1.6377748250961304,0.0,nan,0.0,,,,
186,72199,1.6316653490066528,0.0,nan,0.0,,,,
186,72249,1.648390531539917,0.0,nan,0.0,,,,
186,72299,1.6306159496307373,0.0,nan,0.0,,,,
186,72349,1.6431329250335693,0.0,nan,0.0,,,,
186,72368,,,,,1.640188455581665,nan,0.0,0.0
187,72399,1.66120445728302,0.0,nan,0.0,,,,
187,72449,1.6438602209091187,0.0,nan,0.0,,,,
187,72499,1.6318752765655518,0.0,nan,0.0,,,,
187,72549,1.6344891786575317,0.0,nan,0.0,,,,
187,72599,1.6420519351959229,0.0,nan,0.0,,,,
187,72649,1.6396452188491821,0.0,nan,0.0,,,,
187,72699,1.640345573425293,0.0,nan,0.0,,,,
187,72749,1.627739667892456,0.0,nan,0.0,,,,
187,72755,,,,,1.6395831108093262,nan,0.0,0.0
188,72799,1.6460626125335693,0.0,nan,0.0,,,,
188,72849,1.630839228630066,0.0,nan,0.0,,,,
188,72899,1.6578737497329712,0.0,nan,0.0,,,,
188,72949,1.623344898223877,0.0,nan,0.0,,,,
188,72999,1.630019187927246,0.0,nan,0.0,,,,
188,73049,1.6280648708343506,0.0,nan,0.0,,,,
188,73099,1.638155221939087,0.0,nan,0.0,,,,
188,73142,,,,,1.6396105289459229,nan,0.0,0.0
189,73149,1.6501805782318115,0.0,nan,0.0,,,,
189,73199,1.6392689943313599,0.0,nan,0.0,,,,
189,73249,1.646484613418579,0.0,nan,0.0,,,,
189,73299,1.6331740617752075,0.0,nan,0.0,,,,
189,73349,1.6257843971252441,0.0,nan,0.0,,,,
